t_sec,airspeed,climb,altitude,throttle,heading,pitch,roll,yaw,is_boundary
0.0,16.2190036774,-1.55304789543,416.130004883,0.0,277.0,-2.64536690712,-0.891720175743,-81.8380813599,0
0.1,16.26143580271657,-1.5033344960195438,416.03983157973516,0.12108775230668561,276.7423664838005,-2.6216346107912516,-1.97565233707,-81.91081962732052,0
0.2,16.30386792803314,-1.4536210966090877,415.94965827647036,0.24217550461337123,276.4847329676009,-2.43275976181,-1.97565233707,-82.493019104,0
0.30000000000000004,16.346300053349708,-1.4039076971986315,415.8594849732055,0.36326325692005684,276.2270994514014,-2.43275976181,-1.97565233707,-82.493019104,0
0.4,16.387654777486997,-1.3662772657508817,415.774619793938,0.469999998808,275.97012059961617,-2.43275976181,-1.97565233707,-82.493019104,0
0.5,16.42099624762841,-1.4185148362795885,415.72923419446823,0.469999998808,275.7180108646791,-2.345643502232878,0.8195258367012022,-82.53819647423624,0
0.6000000000000001,16.454337717769825,-1.4707524068082953,415.6838485949985,0.469999998808,275.46590112974206,-1.1457690650477033,1.25172460079,-83.15912229080882,0
0.7000000000000001,16.48767918791124,-1.5229899773370021,415.63846299552876,0.469999998808,275.21379139480496,-1.08457815647,1.25172460079,-83.1906967163,0
0.8,16.51831056065248,-1.531745605725622,415.59755974784304,0.4706904674236817,275.103570236792,-1.08457815647,1.25172460079,-83.1906967163,0
0.9,16.53382135402513,-1.2979003013256043,415.5816651053479,0.47523330145777104,275.7849949763551,-1.08457815647,15.0244436264,-83.1906967163,0
1.0,16.549332147397777,-1.0640549969255866,415.56577046285275,0.4797761354918604,276.4664197159182,0.524385094643,15.0244436264,-84.1235427856,0
1.1,16.564842940770426,-0.8302096925255688,415.54987582035756,0.48431896952594977,277.1478444554813,0.524385094643,15.0244436264,-84.1235427856,0
1.2000000000000002,16.580353734143074,-0.5963643881255508,415.5339811778624,0.4888618035600391,277.8292691950444,0.524385094643,15.0244436264,-84.1235427856,0
1.3,16.614649213321297,-0.5245276844854994,415.5059245510486,0.4955553866360013,279.11107647939684,0.524385094643,24.137058637434578,-84.1235427856,0
1.4000000000000001,16.655224627135688,-0.5068523032013454,415.47380203421375,0.5029679896381716,280.59359849366274,0.7158959517809196,25.6706962585,-81.69112702224338,0
1.5,16.695800040950083,-0.4891769219171917,415.4416795173788,0.510380592640342,282.07612050792864,0.723904550076,25.6706962585,-81.5898208618,0
1.6,16.736375454764477,-0.47150154063303784,415.4095570005439,0.5177931956425122,283.55864252219453,0.723904550076,25.6706962585,-81.5898208618,0
1.7000000000000002,16.794233574390894,-0.31215395775561056,415.3453549659057,0.5288127831104671,285.4100480131993,0.723904550076,32.614725097873134,-81.5898208618,0
1.8,16.859417962997608,-0.09275046307876234,415.2675541823944,0.5413613984222959,287.4178259844376,-0.172236666083,34.7422065735,-75.2274017334,0
1.9000000000000001,16.924602351604317,0.12665303159808633,415.18975339888317,0.5539100137341247,289.42560395567597,-0.172236666083,34.7422065735,-75.2274017334,0
2.0,16.989786740211027,0.3460565262749346,415.1119526153719,0.5664586290459535,291.4333819269143,-0.172236666083,34.7422065735,-75.2274017334,0
2.1,17.08443499001191,-0.3261554063546104,415.03223432707233,0.5766645968148523,293.77722588859007,-0.172236666083,37.684830490582875,-75.2274017334,0
2.2,17.190667489608327,-1.3489220664654131,414.95176213709277,0.5859495103423755,296.25320027116874,-0.0234103926811427,41.2937850952,-70.28354064481431,0
2.3000000000000003,17.296899989204746,-2.371688726576216,414.87128994711327,0.5952344238698987,298.72917465374735,0.0606419406831,41.2937850952,-67.4841995239,0
2.4000000000000004,17.412617376339476,-2.7400328837775234,414.79280697659357,0.6017705511212287,301.2393702774475,0.0606419406831,41.68534653982652,-67.4841995239,0
2.5,17.53833654344226,-2.4182908534722314,414.716421630876,0.605408093080679,303.7856520774517,0.38489251215635656,43.44190979,-64.8001390366081,0
2.6,17.664055710545043,-2.0965488231669376,414.64003628515843,0.6090456350401292,306.3319338774558,0.818817079067,43.44190979,-59.6665229797,0
2.7,17.798194963557336,-1.8456750755267746,414.573871582727,0.613547841848112,309.12869855590054,0.818817079067,44.3832435608,-59.6665229797,0
2.8000000000000003,17.935329173012896,-1.6200086027377543,414.511342280432,0.6183576029479642,312.0145579679117,1.10143196583,44.3832435608,-52.4102935791,0
2.9000000000000004,18.072463382468456,-1.3943421299487342,414.448812978137,0.6231673640478164,314.9004173799229,1.10143196583,44.3832435608,-52.4102935791,0
3.0,18.209597591924016,-1.168675657159715,414.38628367584204,0.6279771251476686,317.786276791934,1.10143196583,44.3832435608,-52.4102935791,0
3.1,18.332538282526738,-1.096675547063226,414.34811592305385,0.629999995232,320.5429315824607,1.10143196583,44.82669883387822,-52.4102935791,0
3.2,18.445176580779375,-1.1362144552948938,414.32763104678673,0.629999995232,323.2058029555152,1.5932712219043381,45.5077171326,-44.31316846784538,0
