timestep,motion_energy,cursor_velocity,interaction_density,task_variability,is_boundary
0,1.0037719066328017,0.8150931740315935,0.520448687848122,0.34592541481532757,0
1,0.996036854101261,0.7819191961384027,0.5078932497546375,0.373497115469283,0
2,1.0192126795132985,0.7691228014620015,0.49719531326132066,0.39672798643445734,0
3,1.0031470035145913,0.742389011358175,0.52347752398522,0.43517684129823303,0
4,0.9839299188051667,0.7395079876144467,0.5308491660673316,0.464163743743059,0
5,1.0108478516472845,0.7956036756768209,0.48161738072602256,0.41438764763883257,0
6,1.0391200013539041,0.7433095787577274,0.4913491065918836,0.35255335790471976,0
7,1.0284124288938772,0.7994561843697661,0.5025700036936063,0.37079960834527115,0
8,0.9788879429257902,0.7712726886112092,0.5398886880907011,0.4171440483007554,0
9,0.9620373558686184,0.784658076463626,0.5095890390993565,0.3802439911846822,0
10,0.9813017661238794,0.8765132369853726,0.5056650029079852,0.3559928730989138,0
11,1.0012397793804173,0.8017374510666873,0.5481046241599966,0.38769905302850227,0
12,0.930249076760835,0.7876320949373005,0.49429674674159585,0.3994161565351411,0
13,0.9934362500820236,0.793759910013926,0.5234840332969816,0.41642527150758535,0
14,0.962622671582408,0.7469483403443591,0.4837678980051093,0.3629953377413798,0
15,0.9780319793588964,0.848209373482432,0.5023297392836064,0.39434405371339826,0
16,0.9836722305142807,0.8305213910919378,0.5219602858103868,0.4253904225252657,0
17,0.9905109953089254,0.780848175257915,0.48280617290989125,0.4276068279953019,0
18,1.012348916091224,0.808254374081725,0.484202881458831,0.44542708749153986,0
19,1.0312754010832803,0.7758232018707772,0.4968432580453238,0.42106646015447574,0
20,0.9961439601116789,0.8142661242648599,0.5359909790872217,0.40448800730161744,0
21,1.0409939041164906,0.7516529821355423,0.4603761997042864,0.48567686062918125,0
22,0.9800441597954016,0.8096289452995532,0.4857452909854878,0.39808464982482983,0
23,1.0105453021027906,0.8540457141820356,0.5237915208607502,0.46586193129743836,0
24,1.0271041054495542,0.81606612587515,0.4473082249167281,0.37918898087912045,0
25,1.0028203689328263,0.7787567820637243,0.5454011428275618,0.4463602287661717,0
26,0.9776950225193858,0.8341917192597282,0.5039401138314121,0.34195586151742785,0
27,0.9723482387122474,0.8702195478682362,0.5481171174159412,0.4300939668556182,0
28,0.9862682252299798,0.8263136251944013,0.4772515030247116,0.3740089665879362,0
29,1.0066058537041014,0.8035004244636544,0.5198635173999758,0.38736357477594935,0
30,0.9697114544938379,0.7711201402393268,0.4843714447219243,0.389628091014961,0
31,0.9937247327538486,0.8156830050533882,0.5068381960497146,0.37573603282041734,0
32,0.9952232497025657,0.869201602814955,0.48224494598859624,0.28958121880860954,0
33,1.0162253675405741,0.7273923139625178,0.48475343131298876,0.47840015750746867,0
34,1.0064397736751902,0.8351824191858884,0.45879429096742363,0.38462356478464227,0
35,1.0106611812711976,0.8053205074659432,0.4319685028379438,0.3447185516273461,0
