t,control_x,control_y
0.0,0.0,1.0841470984807897
0.1,0.09792172313109863,1.0951060789366855
0.2,0.18398051512761782,1.0949615255821763
0.30000000000000004,0.2491876311340047,1.0834010867047836
0.4,0.28959907347762937,1.0609162182232006
0.5,0.3072511736649186,1.0287596361210403
0.6000000000000001,0.30963220746732634,0.9888353041411965
0.7000000000000001,0.3078194846864894,0.9435307790907079
0.8,0.3137380927778577,0.8955068838002019
0.9,0.33721252234472054,0.8474634882618276
1.0,0.3835331111378891,0.8019023123595799
1.1,0.45213319637362004,0.7609079283845602
1.2000000000000002,0.5367009235751429,0.7259665145463318
1.3,0.6266984045448211,0.6978385372866226
1.4000000000000001,0.7099163471095701,0.6764967217124731
1.5,0.7754387577008081,0.6611348363167817
1.6,0.816291915561861,0.6502464914057896
1.7000000000000002,0.8311291164026418,0.6417668954577725
1.8,0.8245387581516591,0.6332648887557136
1.9000000000000001,0.8059003927431928,0.6221680815255433
2.0,0.7870688737189595,0.6060009657400187
2.1,0.7794536495968499,0.5826147099545834
2.2,0.791208339406365,0.550388088628726
2.3000000000000003,0.8252187227916783,0.5083815750681344
2.4000000000000004,0.8783817941671829,0.4564308101446507
2.5,0.9423524296204662,0.3951710736576177
2.6,1.005574889099857,0.32599054791376353
2.7,1.0561018004818212,0.2509165233279767
2.8000000000000003,1.0845104655579474,0.1724446854455766
2.9000000000000004,1.0862024965900567,0.09332670672627215
3.0,1.062523770619766,0.016335090578765928
3.1,1.0204305123831368,-0.05597375317326571
3.2,0.9707832713749985,-0.12147706446256948
3.3000000000000003,0.9256864942170066,-0.17866451413737183
3.4000000000000004,0.8955250612645129,-0.22676226721065662
3.5,0.8864233463271212,-0.26579127311833495
3.6,0.8987489062010275,-0.2965546031707995
3.7,0.9270271411283386,-0.3205549932779731
3.8000000000000003,0.9612878086537097,-0.33984998440833447
3.9000000000000004,0.9895137019758293,-0.35685762720929287
4.0,1.0005919518984445,-0.3741301328644783
4.1000000000000005,0.9870453480612552,-0.394115715157053
4.2,0.9468749305024793,-0.41892992311420796
4.3,0.8840626911079175,-0.4501569153407734
4.4,0.8076112728905497,-0.48869845198370965
4.5,0.7293557456418702,-0.5346841171702709
4.6000000000000005,0.661083171759203,-0.5874508145422928
4.7,0.6116651499929047,-0.6455933898075551
4.800000000000001,0.5849053443504882,-0.7070818798666754
4.9,0.5786289491479912,-0.7694349356687137
5.0,0.5852369690941791,-0.8299339472134403
5.1000000000000005,0.5935895527936335,-0.8858587623639
5.2,0.5917572168694244,-0.9347239612223772
5.300000000000001,0.569966305600274,-0.9744945971517229
5.4,0.52301747307428,-1.0037621486212207
5.5,0.4515849952178415,-1.0218649791792793
5.6000000000000005,0.3620787289866916,-1.0289425586172165
5.7,0.26510244832386476,-1.0259186141086407
5.800000000000001,0.1728859407926852,-1.0144147273567803
5.9,0.09631950652673169,-0.996602105579874
6.0,0.042316845650581025,-0.9750047756341502
6.1000000000000005,0.012151918286708224,-0.9522717885017719
6.2,0.001176897900983985,-0.9309387882664661
6.300000000000001,-9.801797974379536e-06,-0.9132002484071753
6.4,-0.003231475303411023,-0.9007127240180556
6.5,-0.019808092175525302,-0.8944466966526663
6.6000000000000005,-0.057754508132521934,-0.8946002465011409
6.7,-0.11978797165648213,-0.9005822624018246
6.800000000000001,-0.2026328334148293,-0.9110666872276947
6.9,-0.2977927648979369,-0.9241129494615319
7.0,-0.39360149463923494,-0.9373418182198368
7.1000000000000005,-0.47805004390715083,-0.9481509668473805
7.2,-0.541698328639164,-0.9539509818451031
7.300000000000001,-0.5799583374411703,-0.9524007262814793
7.4,-0.5941899542441933,-0.941621023229862
7.5,-0.59134119870599,-0.9203675601375004
7.6000000000000005,-0.5822210330717807,-0.8881475564888028
7.7,-0.5788276777880029,-0.845269759398501
7.800000000000001,-0.5913866205555653,-0.7928232862379423
7.9,-0.6258235785170143,-0.7325871881678306
8.0,-0.6822911792599934,-0.6668787958733893
8.1,-0.755110136741353,-0.5983543761718585
8.200000000000001,-0.8341393779448817,-0.5297798871057299
8.3,-0.9072397163729935,-0.46379228921193016
8.4,-0.9632279272051516,-0.40267271335961047
8.5,-0.9945980085405429,-0.34815172560340113
8.6,-0.9993434110123147,-0.3012640615888195
8.700000000000001,-0.9814341291568321,-0.2622657833558224
8.8,-0.9498318813789748,-0.23062123471486634
8.9,-0.916284528865376,-0.2050609358664013
9.0,-0.8924397652116851,-0.18370522059999278
9.1,-0.8869847712620594,-0.16424254633974245
9.200000000000001,-0.9035121688685837,-0.14414652312347348
9.3,-0.9396347803175509,-0.12091224860442142
9.4,-0.9875659452895784,-0.09229081132885195
9.5,-1.036023323888797,-0.056500987946318804
9.600000000000001,-1.0729900749682073,-0.012399197055247654
9.700000000000001,-1.088657379827023,0.040407498887527565
9.8,-1.0778278779002797,0.10151546483464295
9.9,-1.0411915648251904,0.16974976733667213
10.0,-0.9851617600335313,0.24325842093091973
10.100000000000001,-0.9203112924703579,0.31966721474303045
10.200000000000001,-0.8587917647433947,0.3962813156110395
10.3,-0.8113677301961926,0.47031566531492375
10.4,-0.7847918965161046,0.5391336170184106
10.5,-0.7801639707281802,0.6004725195964238
10.600000000000001,-0.7926749272057174,0.6526361239155755
10.700000000000001,-0.8127992770278861,0.6946366482566463
10.8,-0.8286433924411488,0.7262738362317166
10.9,-0.8288748943226607,0.7481439681270727
11.0,-0.8055158429062539,0.7615780429032624
11.100000000000001,-0.7559158147023373,0.768514674250814
11.200000000000001,-0.6834217380810121,0.771319075038555
11.3,-0.5965804361185181,0.7725643193430015
11.4,-0.507069067072855,0.7747944399177338
11.5,-0.4268601053484149,0.7802905405403302
11.600000000000001,-0.36531491460530285,0.7908608323128233
11.700000000000001,-0.32691744556332103,0.8076733648431332
11.8,-0.31020286411632225,0.8311464082966598
11.9,-0.3081433528346515,0.860906291359017
12.0,-0.30989656030914753,0.8958164733146661
12.100000000000001,-0.30348854748613635,0.9340752640841633
12.200000000000001,-0.2787742812729343,0.9733734726875558
12.3,-0.22995077120412766,1.0110979100923478
12.4,-0.1570074724824187,1.0445625750670429
